[2023-12-18 22:42:46,573: INFO: main: Welcome to my custom log]
[2023-12-23 14:23:53,617: INFO: main: >>>>>> stage Data Ingestion Stage started <<<<<<]
[2023-12-23 14:23:53,621: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-12-23 14:23:53,632: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-23 14:23:53,634: INFO: common: created directory at: artifacts]
[2023-12-23 14:23:53,635: INFO: common: created directory at: artifacts/data_ingestion]
[2023-12-23 14:23:53,637: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-23 14:23:58,804: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-23 14:24:03,112: INFO: main: >>>>>> stage Data Ingestion Stage completed <<<<<<

x==========x]
[2023-12-23 18:16:03,946:INFO:common:yaml file: config\config.yaml loaded successfully]
[2023-12-23 18:16:04,052:INFO:common:yaml file: params.yaml loaded successfully]
[2023-12-23 18:16:04,055:INFO:common:created directory at: artifacts]
[2023-12-23 18:16:04,059:INFO:common:created directory at: artifacts/prepare_base_model]
[2023-12-23 18:43:32,687:INFO:common:yaml file: config\config.yaml loaded successfully]
[2023-12-23 18:43:32,697:INFO:common:yaml file: params.yaml loaded successfully]
[2023-12-23 18:43:32,699:INFO:common:created directory at: artifacts]
[2023-12-23 18:43:32,702:INFO:common:created directory at: artifacts/prepare_base_model]
[2023-12-23 18:52:10,151:INFO:common:yaml file: config\config.yaml loaded successfully]
[2023-12-23 18:52:10,159:INFO:common:yaml file: params.yaml loaded successfully]
[2023-12-23 18:52:10,162:INFO:common:created directory at: artifacts]
[2023-12-23 18:52:10,165:INFO:common:created directory at: artifacts/prepare_base_model]
[2023-12-23 18:54:08,288:INFO:common:yaml file: config\config.yaml loaded successfully]
[2023-12-23 18:54:08,298:INFO:common:yaml file: params.yaml loaded successfully]
[2023-12-23 18:54:08,301:INFO:common:created directory at: artifacts]
[2023-12-23 18:54:08,303:INFO:common:created directory at: artifacts/prepare_base_model]
[2023-12-23 18:55:02,035:INFO:common:yaml file: config\config.yaml loaded successfully]
[2023-12-23 18:55:02,041:INFO:common:yaml file: params.yaml loaded successfully]
[2023-12-23 18:55:02,044:INFO:common:created directory at: artifacts]
[2023-12-23 18:55:02,048:INFO:common:created directory at: artifacts/prepare_base_model]
[2023-12-23 18:58:35,661:INFO:common:yaml file: config\config.yaml loaded successfully]
[2023-12-23 18:58:35,670:INFO:common:yaml file: params.yaml loaded successfully]
[2023-12-23 18:58:35,673:INFO:common:created directory at: artifacts]
[2023-12-23 18:58:35,676:INFO:common:created directory at: artifacts/prepare_base_model]
[2023-12-23 18:58:42,798:WARNING:saving_utils:Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2023-12-23 19:18:47,796: INFO: stage_01_data_ingestion: >>>>>> stage Data Ingestion Stage started <<<<<<]
[2023-12-23 19:18:47,801: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-12-23 19:18:47,807: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-23 19:18:47,811: INFO: common: created directory at: artifacts]
[2023-12-23 19:18:47,814: INFO: common: created directory at: artifacts/data_ingestion]
[2023-12-23 19:18:47,816: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-23 19:19:02,824: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-23 19:19:07,102: INFO: stage_01_data_ingestion: >>>>>> stage Data Ingestion Stage completed <<<<<<

x==========x]
[2023-12-23 19:20:06,327: INFO: stage_02_prepare_base_model: *******************]
[2023-12-23 19:20:06,328: INFO: stage_02_prepare_base_model: >>>>>> stage Prepare base model started <<<<<<]
[2023-12-23 19:20:06,336: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-12-23 19:20:06,348: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-23 19:20:06,350: INFO: common: created directory at: artifacts]
[2023-12-23 19:20:06,355: INFO: common: created directory at: artifacts/prepare_base_model]
[2023-12-23 19:20:09,692: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2023-12-23 19:20:13,533: INFO: stage_02_prepare_base_model: >>>>>> stage Prepare base model completed <<<<<<

x==========x]
[2023-12-24 19:41:32,811:INFO:common:yaml file: config\config.yaml loaded successfully]
[2023-12-24 19:41:32,933:INFO:common:yaml file: params.yaml loaded successfully]
[2023-12-24 19:41:32,937:INFO:common:created directory at: artifacts]
[2023-12-24 19:41:32,968:INFO:common:created directory at: artifacts\training]
[2023-12-26 16:32:54,742:INFO:common:yaml file: config\config.yaml loaded successfully]
[2023-12-26 16:32:54,802:INFO:common:yaml file: params.yaml loaded successfully]
[2023-12-26 16:32:54,806:INFO:common:created directory at: artifacts]
[2023-12-26 16:32:54,810:INFO:common:created directory at: artifacts\training]
[2023-12-26 16:36:19,813:INFO:common:yaml file: config\config.yaml loaded successfully]
[2023-12-26 16:36:19,824:INFO:common:yaml file: params.yaml loaded successfully]
[2023-12-26 16:36:19,829:INFO:common:created directory at: artifacts]
[2023-12-26 16:36:19,831:INFO:common:created directory at: artifacts\training]
[2023-12-26 16:43:00,171:INFO:common:yaml file: config\config.yaml loaded successfully]
[2023-12-26 16:43:00,183:INFO:common:yaml file: params.yaml loaded successfully]
[2023-12-26 16:43:00,187:INFO:common:created directory at: artifacts]
[2023-12-26 16:43:00,192:INFO:common:created directory at: artifacts\training]
[2023-12-26 16:51:09,821:INFO:common:yaml file: config\config.yaml loaded successfully]
[2023-12-26 16:51:09,849:INFO:common:yaml file: params.yaml loaded successfully]
[2023-12-26 16:51:09,853:INFO:common:created directory at: artifacts]
[2023-12-26 16:51:09,856:INFO:common:created directory at: artifacts\training]
[2023-12-26 17:12:03,227:INFO:common:yaml file: config\config.yaml loaded successfully]
[2023-12-26 17:12:03,259:INFO:common:yaml file: params.yaml loaded successfully]
[2023-12-26 17:12:03,262:INFO:common:created directory at: artifacts]
[2023-12-26 17:12:03,266:INFO:common:created directory at: artifacts\training]
[2023-12-26 19:29:15,552:INFO:common:yaml file: config\config.yaml loaded successfully]
[2023-12-26 19:29:15,578:INFO:common:yaml file: params.yaml loaded successfully]
[2023-12-26 19:29:15,580:INFO:common:created directory at: artifacts]
[2023-12-26 19:29:15,584:INFO:common:created directory at: artifacts\training]
[2023-12-30 17:17:57,555:INFO:common:yaml file: config\config.yaml loaded successfully]
[2023-12-30 17:17:57,961:INFO:common:yaml file: params.yaml loaded successfully]
[2023-12-30 17:17:57,965:INFO:common:created directory at: artifacts]
[2023-12-30 17:18:56,985:INFO:common:json file saved at: scores.json]
[2023-12-30 17:19:31,754:INFO:builder_impl:Assets written to: C:\Users\user\AppData\Local\Temp\tmp5dsn4bah\model\data\model\assets]
[2024-01-14 18:41:29,935:INFO:common:yaml file: config\config.yaml loaded successfully]
[2024-01-14 18:41:30,076:INFO:common:yaml file: params.yaml loaded successfully]
[2024-01-14 18:41:30,079:INFO:common:created directory at: artifacts]
[2024-01-14 18:42:20,498:INFO:common:json file saved at: scores.json]
[2024-01-14 18:42:30,236:INFO:builder_impl:Assets written to: C:\Users\user\AppData\Local\Temp\tmp7mpqqpf2\model\data\model\assets]
[2024-01-14 19:00:18,599:INFO:common:yaml file: config\config.yaml loaded successfully]
[2024-01-14 19:00:18,611:INFO:common:yaml file: params.yaml loaded successfully]
[2024-01-14 19:00:18,612:INFO:common:created directory at: artifacts]
[2024-01-14 19:00:49,575:INFO:common:json file saved at: scores.json]
[2024-01-14 19:00:53,947:INFO:builder_impl:Assets written to: C:\Users\user\AppData\Local\Temp\tmptf420r_5\model\data\model\assets]
